user_id,trial_used,referrer_id,registered,total_keys,active_keys,total_paid_rub
7610032094,1,,2026-04-02,1,1,0
7716720217,1,5751465052,2026-04-02,1,1,0
5850955978,0,,2026-04-02,0,0,0
7357219770,0,,2026-04-01,1,1,0
6249739061,0,,2026-04-01,0,0,0
6335411659,1,,2026-04-01,0,0,0
6046877495,0,,2026-04-01,0,0,0
5810134798,1,,2026-04-01,0,0,0
7948283558,0,,2026-04-01,0,0,0
8481755294,1,5293968375,2026-04-01,0,0,0
1718742648,0,,2026-04-01,0,0,0
1456095033,0,,2026-04-01,1,1,0
7324290024,0,,2026-03-31,0,0,0
5214537693,1,,2026-03-31,0,0,0
2065606413,0,5293968375,2026-03-31,0,0,0
8692084094,1,,2026-03-31,1,1,0
7004086929,1,5751465052,2026-03-31,1,1,0
6104667187,0,5751465052,2026-03-31,0,0,0
1507404299,0,5751465052,2026-03-31,0,0,0
5918007886,1,,2026-03-31,1,1,0
5751465052,1,,2026-03-31,1,1,0
6788264973,0,,2026-03-31,0,0,0
7439488595,1,,2026-03-30,1,1,0
7890517863,1,,2026-03-30,1,1,0
8286049391,1,,2026-03-30,1,1,0
1608319462,1,,2026-03-30,1,1,0
1644427056,1,398646088,2026-03-30,1,1,0
398646088,0,,2026-03-30,0,0,0
7607365894,1,,2026-03-30,1,1,0
6666553956,1,,2026-03-29,1,0,0
6863139739,0,,2026-03-29,1,0,0
6351502262,0,,2026-03-29,1,0,0
5436776898,1,,2026-03-29,1,0,0
8046040823,0,,2026-03-29,1,0,0
7950275951,0,5168200495,2026-03-28,1,0,0
952683975,0,1204259262,2026-03-28,1,0,0
7377617763,0,,2026-03-28,1,0,0
7407205608,0,,2026-03-28,1,0,0
1204259262,0,,2026-03-28,1,0,0
994027335,1,,2026-03-28,1,0,0
631919582,0,1204259262,2026-03-28,1,0,0
5246488431,0,,2026-03-27,1,0,0
732589257,0,,2026-03-27,1,0,0
8501916651,0,,2026-03-27,2,0,0
1093590661,0,6568134934,2026-03-27,1,0,0
2096774113,1,,2026-03-27,1,0,0
8763001008,0,,2026-03-27,1,0,0
6568134934,1,949361348,2026-03-27,1,1,0
6690462220,1,,2026-03-27,1,0,0
8317518103,0,,2026-03-27,1,0,0
7523695427,0,,2026-03-26,1,0,0
1048562271,0,,2026-03-26,1,0,0
8507413429,0,,2026-03-26,1,0,0
430717495,0,,2026-03-26,1,0,0
8457590507,0,,2026-03-26,1,0,0
8304946247,0,,2026-03-26,1,0,0
8703812934,1,,2026-03-26,1,0,0
5293968375,0,,2026-03-26,1,0,0
8517108135,1,,2026-03-26,1,0,0
5168200495,1,,2026-03-26,0,0,99
8415096623,0,,2026-03-26,1,0,0
8349425571,0,,2026-03-26,1,0,0
7199913109,0,,2026-03-26,1,0,0
8783060909,1,7375259922,2026-03-26,0,0,0
8558042399,0,,2026-03-26,2,0,0
8516536095,0,,2026-03-26,1,0,0
7129126018,0,,2026-03-26,1,0,0
6286639253,0,1057957382,2026-03-26,2,0,0
7559622102,0,,2026-03-26,1,0,0
1057957382,0,5293968375,2026-03-26,1,0,0
7892950977,0,,2026-03-26,1,0,0
6300598968,0,,2026-03-26,1,0,0
1207594161,0,,2026-03-26,1,0,0
8411260071,0,,2026-03-26,1,0,0
1498462991,1,5293968375,2026-03-26,1,0,0
369883683,0,,2026-03-26,1,0,0
1461916056,0,,2026-03-26,1,0,0
8785794059,1,,2026-03-26,1,0,0
7568262080,1,,2026-03-26,1,0,0
6929479726,0,,2026-03-26,1,0,0
7974745370,0,,2026-03-26,1,0,0
7236724676,1,,2026-03-26,1,0,0
432619943,0,,2026-03-26,1,0,0
5296486955,0,,2026-03-26,1,0,0
8667634003,0,,2026-03-26,1,0,0
7375259922,1,949361348,2026-03-25,0,0,0
949361348,1,,2026-03-25,1,0,0
5012905213,1,5293968375,2026-03-25,1,0,0
5352436388,1,2087958329,2026-03-25,0,0,0